id,difficulty,song,correct_character,other_characters,spotify_uri,youtube_id
193,medium,Hill Street Blues Theme,mick_belker,chief_brody;rick_grimes;john_mcclane;rust_cohle;javier_pena,7c50fac52209414f,h2qK_Qekt-I
194,medium,MASH Theme,alan_alda,kojak;don_johnson;mick_belker;hasselhoff;jr_ewing,db719c0f44784b6e,JQaMkHkx8bA
195,medium,Kojak Theme,kojak,hasselhoff;baretta;alan_alda;mick_belker;don_johnson,79b6ae706f7840ab,WpN6kQgyyAA
196,medium,Knight Rider,knight_rider,batman;baretta;mick_belker;jr_ewing;kojak,6807a60c1cd14bea,lxhWxv_5bQ0
197,medium,I'm Always Here,hasselhoff,knight_rider;don_johnson;mr_t;kojak;jr_ewing,fda78f88d96a47f7,iyHa6VfNPR4
198,medium,True Survivor,kung_fury,terminator;wolverine;blue_beetle;agent_smith;doctor_octopus,05e6c6abae6645f1,yXUlX6vDlIg
199,medium,Mr Bean Theme,mr_bean,venkman;doc_brown;marty_mcfly;apollo13_hanks;dumbledore,6c9c4a528bfe470c,ArJwmhRmhfA
200,medium,Scooby Doo Theme,scooby_doo,mushu;phineas;rufus;totally_spies;bamse,d7e41d1ec1c34a2b,TP5S3Jx3-f4
201,medium,The Best Of Both Worlds,hannah_montana,jasmine;mary_jane;alex_russo;totally_spies;powerpuff,b3335c72041f4bf9,Xw23EVCSqOY
202,medium,Everything Is Not As It Seems,alex_russo,totally_spies;powerpuff;hannah_montana;simone;perry,649053cbb0894c4c,J3Og4vG_xuo
203,medium,Call Me Beep Me,rufus,nr_one;static_shock;phineas;totally_spies;scooby_doo,1d83b3ec21864ff3,u2id3z1vw8c
204,medium,Here We Go,totally_spies,mary_jane;powerpuff;tj;alex_russo;rufus,12bea3311ed94e99,VFrY1MhJ6W4
205,medium,Recess Main Theme,tj,charlie_brown;bumbi;cartman;scooby_doo;phineas,ec6bcf1521ff4bfb,Fsd6sYe4OUY
206,medium,Never Gonna Give You Up,rick_astley,marty_mcfly;jerry_maguire_tc;knight_rider;baretta;tony_manero,895043e1277049cb,lYBUbBu4W08
207,medium,The Addams Family,thing,beetlejuice;jack_skellington;pennywise;mike_wazowski;marshmallow,32828da58e044b74,25jdYZiFAJs
208,medium,What a Life,mads_mikkelsen,dr_house;dexter;eminem;colonel_stars;bbc_merlin,fad589dd066d4873,W5yUmmgYCa0
209,medium,Baretta's Theme,baretta,mr_t;jr_ewing;don_johnson;mick_belker;kojak,98bb6e3c43cf48e7,6sHA7Uuz4oY
210,medium,Canned Heat,napoleon_dynamite,marty_mcfly;kevin_mccallister;kung_fury;genie_will_smith;groot,7ae3738208204fb6,-38yJGUvBD8
211,medium,George of the Jungle,george_jungle,tarzan;maui;abu;conan;banarne,bda2482aebc947dc,CiEHmsP4aO8
212,medium,Life is a Highway,blixten_mcqueen,woody;up;mike_wazowski;wall-e;knight_rider,814ea19125b94e77,Zh-ZUrc-aLI
213,medium,Lose Yourself,eminem,jesse_pinkman;doakes;rick_grimes;lucas;frank_rossi,aca483741c514be8,xFYQQPAOz7Y
214,medium,See You Again,paul_walker,lucas;tyler_durden;paul_atreides;oppenheimer;jack_dawson,a6f0f81d93dd4c37,xl8thVrlvjI
215,medium,We're All in This Together,troy_bolton,alex_russo;hannah_montana;quicksilver;napoleon_dynamite;jack_dawson,e6d644aa7fee4ecc,Bz73c8rz4QA
217,medium,Both Sides Now,frank_rossi,alex_russo;lucas;aniston;glinda;saruman,e3d243b0c9784f1d,GKevHTbVsbQ
218,medium,You'll Be in My Heart,tarzan,mufasa;bagheera;spirit;rafiki;beast,2cc8bd6f7fbf4797,PaEEOsZH71M
219,medium,Live to Win,cartman,rick_sanchez;patrick;genie;nr_one;tj,fc4a1c5f6d524d85,vuHS9NI_xwY
222,medium,Ghostbusters Theme,marshmallow,pennywise;jack_skellington;buzz_lightyear;apollo13_hanks;doc_brown,863fd0cdd3ba47d0,TaV1r341wYk
223,medium,The Sims Theme,sim,steve;mario;link;perry;ash_ketchum,b2a083a0054240e9,BirBa_qXmho
224,medium,Här kommer bumbibjörnarna,bumbi,meeko;uggla_fabel;bamse;cartman;bjorne,57fcb08acdc846e1,RJglAxMaJeQ
225,medium,Rederiet Theme,joker_brost,lasse_holmquist;skargardsdoktorn;lasse_holm;helmer;ghost,https://www.youtube.com/watch?v=zTfKcRcibyg,zTfKcRcibyg
226,medium,Kan du vissla Johanna,per_oscarsson,lasse_berghagen;allan_svensson;brasse;paradis_oskar;rudolf_haber,https://www.youtube.com/watch?v=OyOAVQ1yclk,OyOAVQ1yclk
227,medium,Macken,roger_macken,tjorven;bosse_bildoktor;rudolf_haber;bjorne;allan_svensson,15456296d48944a2,_CxpyAOIQAM
228,medium,Svensson Svensson,allan_svensson,rudolf_haber;skargardsdoktorn;yrrol;helmer;husvagn,6e583cf95e54474a,oK3bWsOF0vU
229,medium,Stockholm i mitt hjärta,lasse_berghagen,lasse_holmquist;helmer;lasse_holm;truckdriver;gabriella,c7b69c32dd2c4a20,FMA9cgbq-v0
230,medium,Bamse,bamse,bagheera;uggla_fabel;bumbi;lasse_berghagen;tarzan,cfb29733036c4b6b,-Yk6uOxmmag
231,medium,Fem myror är fler än fyra elefanter,brasse,patrick;charlie_brown;bamse;hajk;uggla_fabel,f8c26935d498476d,6-bLx86dZL0
232,medium,Zwampen,banarne,lasse_holm;lasse_berghagen;lennart_jahkel;karlsson;husvagn,764d9dacfc384d24,0ivOXL8_obw
233,medium,Olyckans Sång,olyckan,banarne;helmer;brasse;kenny;roger_macken,282720680d3c4bbc,C2JMdCxy8kg
234,medium,Alfons Åberg signatur,alfons,charlie_brown;patrick;bumbi;phineas;bjorne,cc93e31324904725,dvukqJYsCJI
235,medium,Björnes magasin,bjorne,uggla_fabel;bumbi;hajk;helmer;pippi,38d342e4fa924989,iPyMd5SqO3Q
236,medium,Vår På Saltkråkan,tjorven,karlsson;hajk;emil;skargardsdoktorn;pippi,e0cf22ef9c5e4306,MFva8tvVUj4
237,medium,På Spåret,kristian_luuk,joker_brost;rickard_sjoberg;peter_magnusson;lasse_holmquist;hellenius,8c671dde655440a8,amV22W7GD24
238,medium,Rövarsången,skalleper,paradis_oskar;per_oscarsson;truckdriver;hagrid;samwise,74e87586032f497b,sdQn04CEOK8
239,medium,Flyga som en ripa,hellenius,lennart_jahkel;peter_magnusson;sonja_alden;truckdriver;lisa_nilsson,da599d8f4f6543f7,2h_kgy3b_gg
240,medium,Luffarvisan,paradis_oskar,bonddrang_sydow;estragon;brasse;alfred;roger_macken,b2c455dbea1540ca,-HhWURvJLXk
241,medium,Oompa Loompa,willy_wonka,beetlejuice;jack_skellington;tyrion_lannister;jareth_the_goblin_king;shrek,230f1ed904d74be3,j1brMFi9Fy0
242,medium,Sjörovar-Fabbe,sjorovar_fabbe,jack_sparrow;hook;long_john_silver;blackbeard;mojje,846a77f66970429e,XPcwh1UhrZ0
243,medium,Hujedamej sånt barn han var,emil,kevin_mccallister;bert;alfons;karlsson;bjorne,a78670bfc0bd4d5a,k2Ow0DEhBCI
244,medium,Fattig Bonddräng,alfred,bonddrang_sydow;sjorovar_fabbe;brasse;sickan;truckdriver,2997e751f74a4677,e4l-l_JMzJA
245,medium,Världens bästa Karlsson,karlsson,doc_brown;lasse_berghagen;allan_svensson;olyckan;peter_magnusson,f744feac32594988,lCR1iG9L_Ik
246,medium,Sunes jul,rudolf_haber,yrrol;alfons;kenny;bert;emil,023968dbb9274852,nHTrWKPr_xE
247,medium,Dieselråttor,estragon,tobbe_trollkarl;helmer;lasse_holm;sjorovar_fabbe;roger_macken,991ebedaa61a45d0,S6aDF-vKFW4
248,medium,Bögarnas Fel,bogarnas_fel,tony_irving;karlsson;hellenius;roger_macken;lasse_berghagen,0ea56ff823a6425c,MhWCwjPi6yw
249,medium,Gabriellas Sång,gabriella,anastasia;lagaylia;lisa_nilsson;sissel;sonja_alden,5a4a446c9dee4f39,AkeksAVtigg
250,medium,Sommar och Sol,hajk,mojje;brasse;banarne;paradis_oskar;bjorne,754a159829c1407a,IifWR7nQ8ko
251,medium,Bosse bildoktor,bosse_bildoktor,yrrol;helmer;rudolf_haber;kristian_luuk;sjorovar_fabbe,b0a35becf68c40df,afVYBn_zndI
252,medium,For once in my life,lasse_holmquist,skargardsdoktorn;lasse_holm;bert;gabriella;bagge,b2366eaa81de426b,l3qi3E40aWE
253,medium,Skärgårdsidyll,skargardsdoktorn,joker_brost;per_oscarsson;allan_svensson;rudolf_haber;yrrol,cf30c6216d0e4a73,cdS8RYSz8g8
254,medium,Idol vinjett,bagge,lagaylia;tony_irving;rickard_sjoberg;tobbe_trollkarl;lasse_holm,7e7694cd90f24ef7,JbQqRla2tVs
255,medium,Fablernas Värld,uggla_fabel,bamse;bumbi;mojje;brasse;banarne,1f08d0b8c7e64829,JFd7ZTCrZ5I
256,medium,Älskade Ängel,bert,bogarnas_fel;kenny;allan_svensson;roger_macken;lasse_berghagen,044451b7e0374a58,NHUTrR4gfqw
257,medium,Med suntrip mot solen,helmer,skargardsdoktorn;lasse_holm;banarne;brasse;per_oscarsson,2fb34ef77f0d4e99,IYr3uZijuoU
258,medium,Sikta mot stjärnorna,lasse_holm,joker_brost;lasse_holmquist;hajk;bagge;hellenius,cf0e42ac3d244dce,peb11K6uKQI
259,medium,The Starfighters,kenny,mr_incredible;yrrol;olyckan;joker_brost;estragon,99d6829023bc49d0,ibUEmjW-ZfQ
260,medium,Var ligger landet där man böjer bananerna?,mojje,brasse;banarne;paradis_oskar;hajk;lasse_berghagen,e93806c157454970,l1HEl-rjr4g
261,medium,I'll be there for you,aniston,mary_jane;mojje;gabriella;hannah_montana;laurie_strode,da2e25935ecb439c,RIjTq_OdFvo
262,medium,Yrrol,yrrol,truckdriver;helmer;bert;allan_svensson;ove,3aca31d4badd460c,pmlwO94bRBs
263,medium,Bean Theme,bean_animated,rick_sanchez;patrick;charlie_brown;tj;perry,9eb9f90e4a2c4744,mjtyTuo_vFk
264,medium,Kodnamn Grannungarna Theme,nr_one,bamse;rufus;totally_spies;scooby_doo;cartman,9fad3131ef414551,4J_uvw_-Hy8
271,medium,The Glory Days,mr_incredible,superman;batman;spiderman;tony_stark;optimus_prime,0cd10752665b4d8b,Uaz2MPzBQps
272,medium,Goldfinger,sean_connery_bond,pierce_brosnan_bond;daniel_craig_bond;timothy_dalton_bond;roger_moore_bond;george_lazenby_bond,7r0EUONfPUZ8SD1vu4ro27,Tvl8KH6WBO8
273,medium,We Have All The Time In The World,george_lazenby_bond,sean_connery_bond;pierce_brosnan_bond;daniel_craig_bond;timothy_dalton_bond;roger_moore_bond,92508497a3cb4ca2,RMxRDTfzgpU
274,medium,Nobody Does It Better,roger_moore_bond,george_lazenby_bond;sean_connery_bond;pierce_brosnan_bond;daniel_craig_bond;timothy_dalton_bond,390f069a556542a3,isAUOa50wdA
275,medium,A View to a Kill,timothy_dalton_bond,george_lazenby_bond;sean_connery_bond;pierce_brosnan_bond;daniel_craig_bond;roger_moore_bond,218f446acb6d485a,hR2OwmariWk
276,medium,GoldenEye,pierce_brosnan_bond,timothy_dalton_bond;george_lazenby_bond;sean_connery_bond;daniel_craig_bond;roger_moore_bond,528QhCT2v3HgD71RmrSUNW,1_Aq5rQdPso
277,medium,Skyfall,daniel_craig_bond,pierce_brosnan_bond;timothy_dalton_bond;george_lazenby_bond;sean_connery_bond;roger_moore_bond,3964a777981b46bb,LJzp_mDxaT0
278,medium,Where Everybody Knows Your Name,sam_malone,alan_alda;baretta;billy_rosewood;don_johnson;jr_ewing,51f03e4760154982,bfy8EJAPmT4
278,medium,Unchained Melody,ghost,laurie_strode;macgyver;mick_belker;billy_rosewood;rose,246d909db1874004,Zv8czIoAw5w
