id,difficulty,song,correct_character,other_characters,spotify_uri,youtube_id
42,medium,The Wire Theme,dominic_west,rust_cohle;rick_grimes;javier_pena;heisenberg;dr_house,4fb9db0124de4411,x2yp0qQCxeA
43,easy,All Star,donkey,bagheera;mushu;meeko;abu;philoctetes,17a1fbb0cc6c4349,8ay_BkRuv-o
44,easy,Somewhere Over the Rainbow,dorothy,elsa;glinda;jasmine;mary_jane;maria_west_side_story,7dd2f4c6821a49d6,YdvV-uKef_A
45,medium,House MD Theme,dr_house,sherlock_holmes;poirot;dexter;rust_cohle;rick_sanchez,28c7f7af18c041e3,c4sBYBSvBOQ
46,medium,Hedwig's Theme,dumbledore,gandalf;saruman;doctor_strange;black_adam;doc_brown,5f4e5b7431b746a7,wtHra9tFISY
47,medium,Mimics and Alphas,edge_of_tmrw_tc,good_men_tc;risky_business_tc;collateral_tc;vampire_tc;last_samurai_tc,90912c89f91f4708,gwj27LySeTo
48,medium,Stranger Things Theme,eleven,harry_potter;chief_brody;doctor_strange;miles_morales;static_shock,a764af5951d74705,2obv0DHuhu4
49,easy,Let It Go,elsa,anastasia;mulan;pocahontas;jasmine;ariel,486ad9e988a24e1b,qSU560anReg
50,medium,Wakanda,erik_killmonger,black_adam;doctor_doom;thanos;green_goblin;voldemort,15777599d7d64b03,OLtSLZEWK78
51,medium,Tuyo (Narcos Theme),escobar_narcos,tony_montana;nathan_drake;rick_grimes;rust_cohle;heisenberg,845626f0a5bb4ce2,zNPXnAVyAUA
52,medium,The Bells of Notre Dame,esmeralda,pocahontas;mulan;jasmine;maria_west_side_story;anastasia,4b8c09771bcf4b90,1dBwv5_59T8
53,easy,Flying Theme,et,baby_yoda;buzz_lightyear;darth_vader;voldemort;gandalf,fec27d42490e45fc,7AR6KQOiNHA
54,medium,Mission Impossible Theme,ethan_hunt_tc,james_bond;jason_bourne;nathan_drake;indiana_jones;john_mcclane,ad45d0ff817a4376,YBZ6GPCJcxM
55,easy,I'm Forrest... Forrest Gump,forrest_gump_hanks,davinci_code_hanks;saving_private_ryan_hanks;apollo13_hanks;philadelphia_hanks;cast_away_hanks,1d17b42b5dd54146,L4tetTHHPEQ
56,medium,The White Rider,gandalf,dumbledore;moses;doctor_strange;doc_brown;harry_potter,748df294431a4797,HgV-prS1tyU
57,medium,Popular,glinda,elsa;dorothy;jasmine;mary_jane;maria_west_side_story,d47ec2c9a1494f0b,rpFXOD_olvY
58,medium,Hound Dog,good_men_tc,ethan_hunt_tc;last_samurai_tc;maverick_tc;collateral_tc;jerry_maguire_tc,1789b2d9faf943d9,x3lvUeQUo28
59,medium,Jurassic Park Theme,grant_jurassic_park,indiana_jones;chief_brody;nathan_drake;rick_grimes;tyrion_lannister,9c61edc459564cdb,lDlU08RU7Tk
60,medium,Spiderman Main Title,green_goblin,wolverine;doctor_doom;erik_killmonger;thanos;voldemort,d682f7381e9d4e2d,tbhdL8VLhwI
